id,regex,message,
E0.1,"j|x|q","При написании использованы не предусмотренные буквы ('{}').",
E0.2,"c\b|c[^h]","При написании использовано 'c' вне диграфа 'ch'.",
E2.1,,"Безударный гласный обозначен буквой 'o'.",
E2.2,,"Во многосложном слове более одного раза встречается 'o'.",
E2.3,,"Безударный гласный обозначен буквой 'e'.",
E2.4,,"Во многосложном слове более одного раза встречается 'e'.",
E3.1,,"Отсутствует знак палатализации перед 'i' после согласного, отличного от 'l', - '{}'.",
E3.2,,"Поставлен знак палатализации перед 'i' после несмягчаемого согласного '{}'.",
E3.3,,"Отсутствует знак палатализации перед 'e' после губного согласного '{}'.",
E3.4,,"Отсутствует знак палатализации перед 'e' после зубного смычного согласного '{}'.",
E3.5,,"Поставлен знак палатализации перед 'e' после несмягчаемого согласного '{}'.",
E3.6,,"Поставлен знак палатализации не после согласного ('{}').",
E5.1,,"Использована последовательность гласного и 'i' - '{}'.",
E7.1,,"Использован дефис.",
E8.1,,"На письме отражено изменение звонкости-глухости предлога из одного звука ('{}').",
E8.2,,"Отрицание записано как n'e.",
E9.1,,"Во многосложном слове отсутствует ударение.",
E9.2,,"Во многосложном слове поставлено более одного ударения.",
W6.1,,"Вероятно, вместо знака мягкости после палатализованного согласного перед гласным использована буква 'y'.",
W10.1,,"Встречено односложное слово с ударением. Требуется проверка синтагмы.",
